"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	3157	7526262	41.946453631
	"Alaska"	"02"	717	1178778	60.825702550
	"Arizona"	"04"	5396	9764939	55.258921740
	"Arkansas"	"05"	1964	4505554	43.590643903
	"California"	"06"	20304	59455873	34.149696196
	"Colorado"	"08"	4354	8311680	52.384114884
	"Connecticut"	"09"	1838	5770126	31.853723818
	"Delaware"	"10"	642	1418294	45.265650140
	"District of Columbia"	"11"	378	1040738	36.320380345
	"Florida"	"12"	14407	29449897	48.920374832
	"Georgia"	"13"	5724	15607318	36.675103307
	"Hawaii"	"15"	855	2191173	39.020196032
	"Idaho"	"16"	1101	2370448	46.446916364
	"Illinois"	"17"	6445	20543595	31.372308498
	"Indiana"	"18"	4527	10157735	44.567022077
	"Iowa"	"19"	1489	4678122	31.829011727
	"Kansas"	"20"	1764	4383218	40.244404910
	"Kentucky"	"21"	4253	6975971	60.966423169
	"Louisiana"	"22"	2818	7145421	39.437844180
	"Maine"	"23"	866	2180381	39.717829132
	"Maryland"	"24"	3200	9475467	33.771422559
	"Massachusetts"	"25"	4134	10657160	38.790822320
	"Michigan"	"26"	7453	15614868	47.730150521
	"Minnesota"	"27"	2777	8511572	32.626170583
	"Mississippi"	"28"	1815	4576637	39.657940973
	"Missouri"	"29"	4513	9406889	47.975478397
	"Montana"	"30"	888	1572222	56.480573354
	"Nebraska"	"31"	754	2813764	26.796845791
	"Nevada"	"32"	2711	4388522	61.774784312
	"New Hampshire"	"33"	928	2183501	42.500553011
	"New Jersey"	"34"	3615	14321502	25.241765843
	"New Mexico"	"35"	2388	3190840	74.839227288
	"New York"	"36"	8857	31384419	28.221009922
	"North Carolina"	"37"	5930	15257204	38.866885440
	"North Dakota"	"38"	316	1033176	30.585302020
	"Ohio"	"39"	7881	18259656	43.160725481
	"Oklahoma"	"40"	3497	5798755	60.306048453
	"Oregon"	"41"	3077	6222853	49.446773048
	"Pennsylvania"	"42"	9203	20086176	45.817581206
	"Rhode Island"	"44"	823	1669547	49.294808712
	"South Carolina"	"45"	3189	7316890	43.584091055
	"South Dakota"	"46"	429	1241251	34.561905690
	"Tennessee"	"47"	5178	10180367	50.862606427
	"Texas"	"48"	12864	39400047	32.649707245
	"Utah"	"49"	2342	3978673	58.863847318
	"Vermont"	"50"	396	1020586	38.801237720
	"Virginia"	"51"	4106	13110241	31.319027621
	"Washington"	"53"	4738	11017453	43.004494777
	"West Virginia"	"54"	1929	2993043	64.449458294
	"Wisconsin"	"55"	3486	9063553	38.461737908
	"Wyoming"	"56"	507	904278	56.066829006
"Total"			196923	491306635	40.081485975
