metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2015,"Anchorage Municipality",AK,us-ak-020,0.51120188057267
Metropolitan,2015,"Fairbanks North Star Borough",AK,us-ak-090,0.42711183529581
Metropolitan,2015,"Matanuska-Susitna Borough",AK,us-ak-170,0.41042755210967
Metropolitan,2015,"Autauga County",AL,us-al-001,0.7125579520258
Metropolitan,2015,"Baldwin County",AL,us-al-003,0.45401475873042
Metropolitan,2015,"Bibb County",AL,us-al-007,0
Metropolitan,2015,"Blount County",AL,us-al-009,0.27530442064129
Metropolitan,2015,"Calhoun County",AL,us-al-015,0.57884660796815
Metropolitan,2015,"Chilton County",AL,us-al-021,0.1444217858534
Metropolitan,2015,"Colbert County",AL,us-al-033,0.47078709487764
Metropolitan,2015,"Elmore County",AL,us-al-051,0.21400199235842
Metropolitan,2015,"Etowah County",AL,us-al-055,0.51049506846692
Metropolitan,2015,"Geneva County",AL,us-al-061,0.2020156774916
Metropolitan,2015,"Hale County",AL,us-al-065,0.3246192893401
Metropolitan,2015,"Henry County",AL,us-al-067,0.52271413709398
Metropolitan,2015,"Houston County",AL,us-al-069,0.36025682688804
Metropolitan,2015,"Jefferson County",AL,us-al-073,0.6390853893747
Metropolitan,2015,"Lauderdale County",AL,us-al-077,0.25559546538092
Metropolitan,2015,"Lawrence County",AL,us-al-079,0.18800780453712
Metropolitan,2015,"Lee County",AL,us-al-081,0.62551070611136
Metropolitan,2015,"Limestone County",AL,us-al-083,0.21045637940615
Metropolitan,2015,"Lowndes County",AL,us-al-085,0.2554208337021
Metropolitan,2015,"Madison County",AL,us-al-089,0.62385047086267
Metropolitan,2015,"Mobile County",AL,us-al-097,0.41005394777623
Metropolitan,2015,"Montgomery County",AL,us-al-101,0.57323543902024
Metropolitan,2015,"Morgan County",AL,us-al-103,0.27223198594025
Metropolitan,2015,"Pickens County",AL,us-al-107,0
Metropolitan,2015,"Russell County",AL,us-al-113,0.21534742289459
Metropolitan,2015,"Shelby County",AL,us-al-117,0.56321090806571
Metropolitan,2015,"St. Clair County",AL,us-al-115,0.12570430538442
Metropolitan,2015,"Tuscaloosa County",AL,us-al-125,0.44606382541509
Metropolitan,2015,"Walker County",AL,us-al-127,0.13957895050953
Metropolitan,2015,"Benton County",AR,us-ar-007,0.48101780526703
Metropolitan,2015,"Cleveland County",AR,us-ar-025,0.436644032685
Metropolitan,2015,"Craighead County",AR,us-ar-031,0.41395435645926
Metropolitan,2015,"Crawford County",AR,us-ar-033,0.55038096468005
Metropolitan,2015,"Crittenden County",AR,us-ar-035,0.48453891792071
