Code,Name,Keep,Definitions,URL,Source,Source_url,Reason
20th_percentile_income,20th Percentile Income,1,Population of adults with income in the 20th percentile.,http://bit.ly/332hHEj,"American Community Survey, 5-year estimates",http://factfinder2.census.gov/,"Income inequality within US communities can have broad health impacts, including increased risk of mortality, poor health, and increased cardiovascular disease risks. Inequalities in a community can accentuate differences in social class and status and serve as a social stressor. Communities with greater income inequality can experience a loss of social connectedness, as well as decreases in trust, social support, and a sense of community for all residents."
80th_percentile_income,80th Percentile Income,1,Population of adults with Income in the 80th percentile.,http://bit.ly/332hHEj,"American Community Survey, 5-year estimates",http://factfinder2.census.gov/,"Income inequality within US communities can have broad health impacts, including increased risk of mortality, poor health, and increased cardiovascular disease risks. Inequalities in a community can accentuate differences in social class and status and serve as a social stressor. Communities with greater income inequality can experience a loss of social connectedness, as well as decreases in trust, social support, and a sense of community for all residents."
age_adjusted_mortality,Age-Adj Mortality,0,"Num deaths among residents per 100,000 population (age-adjusted).",http://bit.ly/2WtyDRD,CDC WONDER mortality data,https://wonder.cdc.gov/,Premature Age-Adjusted Mortality is a common and important population health outcome measure.
age_adjusted_mortality_black,Age-Adj Mortality (Black),0,"Num deaths among black residents per 100,000 population (age-adjusted).",http://bit.ly/2WtyDRD,CDC WONDER mortality data,https://wonder.cdc.gov/,Premature Age-Adjusted Mortality is a common and important population health outcome measure.
age_adjusted_mortality_hispanic,Age-Adj Mortality (Hispanic),0,"Num deaths among hispanic residents per 100,000 population (age-adjusted).",http://bit.ly/2WtyDRD,CDC WONDER mortality data,https://wonder.cdc.gov/,Premature Age-Adjusted Mortality is a common and important population health outcome measure.
age_adjusted_mortality_white,Age-Adj Mortality (White),0,"Num deaths among white residents per 100,000 population (age-adjusted).",http://bit.ly/2WtyDRD,CDC WONDER mortality data,https://wonder.cdc.gov/,Premature Age-Adjusted Mortality is a common and important population health outcome measure.
annual_average_violent_crimes,Annual Average Violent Crimes,0,Average Num violent crimes per year.,http://bit.ly/2NoL1hL,Uniform Crime Reporting - FBI,http://www.icpsr.umich.edu/icpsrweb/NACJD/series/57/studies?archive=NACJD&sortBy=7,"High levels of violent crime compromise physical safety and psychological well-being. High crime rates can also deter residents from pursuing healthy behaviors, such as exercising outdoors. Additionally, exposure to crime and violence has been shown to increase stress, which may exacerbate hypertension and other stress-related disorders and may contribute to obesity prevalence. Exposure to chronic stress also contributes to the increased prevalence of certain illnesses, such as upper respiratory illness, and asthma in neighborhoods with high levels of violence. Uniform Crime Reporting (UCR) data is generally regarded as a valid and reliable index of the types of crime residents view as serious events."
association_rate,Association Rate,1,"Num membership associations per 10,000 population.",http://bit.ly/34cZ4xK,County Business Patterns,https://www.census.gov/data/datasets/2016/econ/cbp/2016-cbp.html,"Poor family support, minimal contact with others, and limited involvement in community life are associated with increased morbidity and early mortality. A 2001 study found that the magnitude of health risk associated with social isolation is similar to the risk of cigarette smoking. Furthermore, social support networks have been identified as powerful predictors of health behaviors, suggesting that individuals without a strong social network are less likely to make healthy lifestyle choices than individuals with a strong network. A study found that people living in areas with high levels of social trust are less likely to rate their health status as fair or poor than people living in areas with low levels of social trust. Researchers have argued that social trust is enhanced when people belong to voluntary groups and organizations because people who belong to such groups tend to trust others who belong to the same group."
average_daily_pm25,Air Quality,1,Average daily density of fine particulate matter in micrograms per cubic meter (PM2.5).,http://bit.ly/2qNI7vo,Environmental Public Health Tracking Network,https://ephtracking.cdc.gov/DataExplorer/,"The relationship between elevated air pollution (especially fine particulate matter and ozone) and compromised health has been well documented. Negative consequences of ambient air pollution include decreased lung function, chronic bronchitis, asthma, and other adverse pulmonary effects. Long-term exposure to fine particulate matter increases premature death risk among people age 65 and older, even when exposure is at levels below the National Ambient Air Quality Standards. These particles can be directly emitted from sources such as forest fires, or they can form when gases emitted from power plants, industries and automobiles react in the air."
child_mortality_rate,Child Mortality Rate,0,"Num deaths among children under age 18 per 100,000 population.",http://bit.ly/2oryOAq,CDC WONDER mortality data,http://wonder.cdc.gov/ucd-icd10.html,"The child mortality rate can have a large impact on years of potential life lost (YPLL), so it is an important measure to reference when interpreting a county's YPLL rate."
child_mortality_rate_black,Child Mortality Rate (Black),0,"Num deaths among black children under age 18 per 100,000 population.",http://bit.ly/2oryOAq,CDC WONDER mortality data,http://wonder.cdc.gov/ucd-icd10.html,"The child mortality rate can have a large impact on years of potential life lost (YPLL), so it is an important measure to reference when interpreting a county's YPLL rate."
child_mortality_rate_hispanic,Child Mortality Rate (Hisp),0,"Num deaths among hispanic children under age 18 per 100,000 population.",http://bit.ly/2oryOAq,CDC WONDER mortality data,http://wonder.cdc.gov/ucd-icd10.html,"The child mortality rate can have a large impact on years of potential life lost (YPLL), so it is an important measure to reference when interpreting a county's YPLL rate."
child_mortality_rate_white,Child Mortality Rate (White),0,"Num deaths among white children under age 18 per 100,000 population.",http://bit.ly/2oryOAq,CDC WONDER mortality data,http://wonder.cdc.gov/ucd-icd10.html,"The child mortality rate can have a large impact on years of potential life lost (YPLL), so it is an important measure to reference when interpreting a county's YPLL rate."
chlamydia_rate,Sexual Trans Infect,1,"Num newly diagnosed chlamydia cases per 100,000 population.",http://bit.ly/2N1NTC8,"National Center for HIV/AIDS, Viral Hepatitis, STD, and TB Prevention",https://gis.cdc.gov/grasp/nchhstpatlas/main.html?value=atlas,"Chlamydia incidence rates are associated with unsafe sexual activity. Chlamydia rates are readily available and reliable for nearly all counties. Chlamydia is the most common bacterial sexually transmitted infection (STI) in North America and is one of the major causes of tubal infertility, ectopic pregnancy, pelvic inflammatory disease, and chronic pelvic pain. STIs are associated with a significantly increased risk of morbidity and mortality, including increased risk of cervical cancer, infertility, and premature death. STIs also have a high economic burden on society. The direct medical costs of managing sexually transmitted infections and their complications in the US, for example, was approximately 15.6 billion dollars in 2008."
