NAME,p_American_Indian,p_Asian_or_Pacific_Islander,p_Black_Non_Hispanic,p_Hispanic,p_White_Non_Hispanic,p_Overall,Total_Number
United States,154.9,86.6,210.1,116.9,171.9,168.5,633842
Alabama,80.2,NA,237.9,65.4,231.7,229.7,12981
Alaska,234.2,95.4,162.7,NA,147.5,154.1,846
Arizona,125.6,73.3,175.1,114,141.9,138.8,11458
Arkansas,NA,107.9,265.3,68.7,221.6,223.2,7938
California,168.5,86.8,212.6,111.9,164.9,145.6,61289
Colorado,140.2,71.7,173.1,115.9,129.1,128.4,7009
Connecticut,NA,69,163.2,103.9,150.3,147.8,7205
Delaware,NA,NA,173.3,69.9,168.6,165.2,1940
District of Columbia,NA,NA,250.7,58.7,105.9,187.6,1217
Florida,74,76.4,169,124.3,153.8,149.8,45441
Georgia,NA,79.5,200.6,64.7,181,180.2,17769
Hawaii,NA,129.5,153.5,235.3,137.9,135.6,2605
Idaho,144.1,NA,NA,94.1,160,156.4,2825
Illinois,NA,82.1,225.5,93.9,171.6,171.5,25652
Indiana,NA,84.5,211.3,82.1,183.7,182.3,13948
Iowa,NA,75.1,187.6,47.8,162.6,160.9,6813
Kansas,288.7,48.8,180.6,93.7,160.4,158.5,5624
Kentucky,NA,85.7,196.8,56.6,200.2,197.8,10077
Louisiana,83,87.5,256.2,88.1,202,212.1,10665
Maine,NA,NA,NA,NA,158,157.3,3009
Maryland,NA,70.5,196.8,75.3,168.8,169.3,11481
Massachusetts,NA,58.9,117.2,80.5,140.3,138.5,12130
Michigan,175.9,82.2,266.3,142.1,191.7,198.9,24794
Minnesota,192.6,63.2,110.4,49.2,117,116.6,7844
Mississippi,242.3,108.2,264.9,NA,232.2,240.5,7969
Missouri,88.5,81.6,226.5,79.4,197.9,197.9,14808
Montana,225.8,NA,NA,136.5,149.9,155.8,2104
Nebraska,NA,NA,160.9,81.3,157.4,154.5,3591
Nevada,147.8,115.9,261.5,123.3,219.8,200.9,6114
New Hampshire,NA,NA,NA,NA,151.6,149,2571
New Jersey,NA,69,197.4,102.5,176,166.7,18647
New Mexico,116.5,NA,211.4,139.2,145.5,142.4,3508
New York,97.9,100.6,211.2,134.7,184.5,181.6,44450
North Carolina,193.5,72.4,186,61,160.3,162.4,18474
North Dakota,244.1,NA,NA,NA,137.9,142.4,1323
Ohio,NA,80.5,221,97.3,190.6,191.7,28069
Oklahoma,281.4,105.8,262.8,114.2,234,234,10310
Oregon,154.3,75.2,111.3,68,140,136.1,6859
Pennsylvania,NA,69.9,211.6,113.1,176,177.8,32042
Rhode Island,NA,97.7,138.5,84.5,164.9,160.4,2371
South Carolina,114.5,58,209.6,71.4,172.2,177.8,10092
South Dakota,227.7,NA,NA,NA,147.6,150.9,1711
Tennessee,95.3,90.6,239.8,78.4,206.1,207.3,15730
Texas,55.3,78.3,219.9,136.1,181.1,171.6,43298
Utah,122.4,104.3,162.2,106.1,156.8,152.9,3598
Vermont,NA,NA,NA,NA,153.1,152.5,1311
Virginia,94.2,68.5,183.7,65.4,154.2,154.2,14077
Washington,171.3,72.5,139.2,82.9,143.7,137.6,11025
West Virginia,NA,NA,201.4,NA,193,191.3,4727
Wisconsin,194.5,96.6,206.2,73.2,154.7,156,11473
Wyoming,NA,NA,NA,104.5,163.5,159.4,1030
