YEAR,p_ht_death_rate,DEATHS,NAME,Abbreviation
2018,8.9,,United States,US
2018,9.5,564,Alabama,AL
2018,8.2,50,Alaska,AK
2018,10.2,928,Arizona,AZ
2018,11.3,424,Arkansas,AR
2018,12.3,5511,California,CA
2018,5.5,317,Colorado,CO
2018,7.5,387,Connecticut,CT
2018,5.2,65,Delaware,DE
2018,8.4,2776,Florida,FL
2018,10.7,1154,Georgia,GA
2018,6.3,140,Hawaii,HI
2018,6,119,Idaho,ID
2018,7.8,1234,Illinois,IL
2018,9.7,793,Indiana,IN
2018,10.5,461,Iowa,IA
2018,7.5,275,Kansas,KS
2018,7.7,407,Kentucky,KY
2018,7.2,383,Louisiana,LA
2018,6,123,Maine,ME
2018,8.5,622,Maryland,MD
2018,7.2,668,Massachusetts,MA
2018,7.2,940,Michigan,MI
2018,8.7,628,Minnesota,MN
2018,15.9,554,Mississippi,MS
2018,7.6,608,Missouri,MO
2018,6,86,Montana,MT
2018,12.6,307,Nebraska,NE
2018,10.8,358,Nevada,NV
2018,5.8,110,New Hampshire,NH
2018,6.4,752,New Jersey,NJ
2018,5.6,147,New Mexico,NM
2018,10.5,2731,New York,NY
2018,8.4,1029,North Carolina,NC
2018,9.2,92,North Dakota,ND
2018,9.1,1404,Ohio,OH
2018,9.5,438,Oklahoma,OK
2018,11.3,607,Oregon,OR
2018,5.9,1116,Pennsylvania,PA
2018,5.7,86,Rhode Island,RI
2018,9.5,599,South Carolina,SC
2018,9.5,113,South Dakota,SD
2018,9.4,765,Tennessee,TN
2018,8.6,2347,Texas,TX
2018,6.1,156,Utah,UT
2018,8.8,77,Vermont,VT
2018,8,787,Virginia,VA
2018,8.4,718,Washington,WA
2018,9.9,255,West Virginia,WV
2018,6.6,514,Wisconsin,WI
2018,5.1,36,Wyoming,WY
