County,Region,Color
New York State,New York State,#7a7a7a
Albany,Capital,#00ffff
Allegany,Western New York,#979797
Bronx,New York City,#c8ff00
Broome,Southern Tier,#ffd900
Cattaraugus,Western New York,#979797
Cayuga,Central New York,#d7e1be
Chautauqua,Western New York,#979797
Chemung,Finger Lakes,#b4ffaa
Chenango,Southern Tier,#ffd900
Clinton,North Country,#dcc8dc
Columbia,Capital,#00ffff
Cortland,Central New York,#d7e1be
Delaware,Southern Tier,#ffd900
Dutchess,Mid-Hudson,#91bdf0
Erie,Western New York,#979797
Essex,North Country,#dcc8dc
Franklin,North Country,#dcc8dc
Fulton,Mohawk Valley,#ffff00
Genesee,Western New York,#979797
Greene,Capital,#00ffff
Hamilton,North Country,#dcc8dc
Herkimer,Mohawk Valley,#ffff00
Jefferson,Tug Hill Seaway,#e978ef
Kings,New York City,#c8ff00
Lewis,Tug Hill Seaway,#e978ef
Livingston,Finger Lakes,#b4ffaa
Madison,Central New York,#d7e1be
Manhattan,New York City,#c8ff00
Monroe,Finger Lakes,#b4ffaa
Montgomery,Mohawk Valley,#ffff00
Nassau,Long Island,#ff64a5
New York,New York City,#c8ff00
Niagara,Western New York,#979797
Oneida,Central New York,#d7e1be
Onondaga,Central New York,#d7e1be
Ontario,Finger Lakes,#b4ffaa
Orange,Mid-Hudson,#91bdf0
Orleans,Western New York,#979797
Oswego,Central New York,#d7e1be
Otsego,Mohawk Valley,#ffff00
Putnam,Mid-Hudson,#91bdf0
Queens,New York City,#c8ff00
Rensselaer,Capital,#00ffff
Richmond,New York City,#c8ff00
Rockland,Mid-Hudson,#91bdf0
St. Lawrence,Tug Hill Seaway,#e978ef
Saratoga,Capital,#00ffff
Schenectady,Capital,#00ffff
Schoharie,Mohawk Valley,#ffff00
Schuyler,Finger Lakes,#b4ffaa
Seneca,Finger Lakes,#b4ffaa
Steuben,Finger Lakes,#b4ffaa
Suffolk,Long Island,#ff64a5
Sullivan,Mid-Hudson,#91bdf0
Tioga,Southern Tier,#ffd900
Tompkins,Southern Tier,#ffd900
Ulster,Mid-Hudson,#91bdf0
Warren,North Country,#dcc8dc
Washington,North Country,#dcc8dc
Wayne,Finger Lakes,#b4ffaa
Westchester,Mid-Hudson,#91bdf0
Wyoming,Western New York,#979797
Yates,Finger Lakes,#b4ffaa
