FIPS,County,Population
36000,New York State,21250933
36061,New York,1632480
36061,Manhattan,1632480
36047,Kings,2600747
36081,Queens,2298513
36103,Suffolk,1487901
36005,Bronx,1437872
36059,Nassau,1356564
36119,Westchester,968815
36029,Erie,919866
36055,Monroe,744248
36085,Richmond,474101
36067,Onondaga,464242
36071,Orange,378227
36087,Rockland,323686
36001,Albany,307426
36027,Dutchess,293894
36091,Saratoga,227377
36065,Oneida,230782
36063,Niagara,211704
36007,Broome,194402
36111,Ulster,179303
36083,Rensselaer,159431
36093,Schenectady,154883
36013,Chautauqua,129656
36075,Oswego,119104
36045,Jefferson,114448
36069,Ontario,109472
36089,St. Lawrence,109558
36109,Tompkins,102962
36079,Putnam,99070
36101,Steuben,96927
36117,Wayne,90856
36015,Chemung,85740
36019,Clinton,80794
36011,Cayuga,77868
36009,Cattaraugus,77686
36105,Sullivan,75211
36053,Madison,71359
36113,Warren,64480
36051,Livingston,63907
36043,Herkimer,62505
36115,Washington,61828
36077,Otsego,60244
36021,Columbia,60919
36037,Genesee,58112
36035,Fulton,53743
36033,Franklin,50692
36057,Montgomery,49426
36107,Tioga,49045
36023,Cortland,48123
36017,Chenango,48348
36039,Greene,47617
36003,Allegany,47025
36025,Delaware,45502
36073,Orleans,41175
36121,Wyoming,40565
36031,Essex,37751
36099,Seneca,34612
36095,Schoharie,31364
36049,Lewis,26719
36123,Yates,25009
36097,Schuyler,17992
36041,Hamilton,4575
